additives_n,ingredients_from_palm_oil_n,ingredients_that_may_be_from_palm_oil_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,carbon_footprint_100g,nutrition_score_fr_100g,nutrition_score_uk_100g
0,0,0,1365,0,0,80,80,0.3,0,0,120,14,14
2,0,0,536,3.8,1.8,14,1.6,8.9,1.016,0.4,495,1,1
0,0,0,1469,2.3,0.4,64,3.2,14,0,0,4.4,-6,-6
0,0,0,1531,2,0.35,72,3.7,12,0.0254,0.01,202.36,-6,-6
0,0,0,1531,2,0.35,72,3.7,12,0.0254,0.01,200.75,-6,-6
3,0,1,151,0,0,8.8,7.9,0.1,0.1,0.0393700787401575,5,12,1
0,0,0,3700,100,6.5,0,0,0,0,0,150,10,16
0,0,0,1532,29,19,0,0,27,0.70104,0.276,1113.0547,12,17
0,0,0,1532,29,19,0,0,27,0.70104,0.276,1127,12,17
0,0,0,171,0.1,0.1,9.9,9.5,0.1,0.0254,0.01,69.94,3,-3
0,0,0,1531,2,0.4,72,3.7,12,0,0,209.85,-6,-6
0,0,0,1531,2,0.35,72,3.7,12,0.0254,0.01,198.9,-6,-6
0,0,0,1552,2.5,0.4,70,3,13,0.0254,0.01,182.85,-6,-6
1,0,0,1628,4.9,0.7,72,6.9,11,1.39954,0.551,226.8,11,11
0,0,0,618,6,1.4,0.3,0.3,23,3.048,1.2,900,12,12
1,0,0,694,7.5,1.5,2.7,0.4,21.8,2.99974,1.181,828,13,13
0,0,0,618,6,1.4,0.5,0.5,23.3,2.99974,1.181,828,12,12
0,0,0,618,6,1.4,0.3,0.3,23,2.9972,1.18,828,12,12
0,0,0,618,6,1.4,0.5,0.5,23.3,2.99974,1.181,828,12,12
0,0,0,618,6,1.4,0.3,0.3,23,2.99974,1.181,828,12,12
0,0,0,2299,38.9,23.8,52.9,39.7,5.1,0,0,160,19,19
0,0,0,2336,40.6,21.5,48.8,37.2,6.9,0,0,153,19,19
0,0,0,2202,34.2,20.9,56.3,44.7,4.5,0,0,177,20,20
0,0,0,1460,0.5,0,79,0.5,6.5,0,0,388,-1,-1
0,0,0,2510,53.2,32.5,34.8,15,7.7,0,0,178,15,15
0,0,0,2236,35,21.4,57.5,45.6,4.6,0,0,153,21,21
0,0,0,2197,34.2,20.9,56.7,45,4.5,0.01,0.00393700787401575,177,20,20
1,0,0,207,0,0,11.6,11.4,0.6,0,0,95,5,-3
1,0,0,214,0,0,12,11.8,0.6,0,0,94,6,-3
1,0,0,1683,6.7,2.78,69.3,9.8,8.7,0,0,167,-1,-1
0,0,0,2425,47.5,29,42,24.8,6.7,0,0,188,17,17
0,0,0,2591,57.4,35.1,30.4,10.1,7.9,0,0,197,14,14
0,0,0,1555,4,0.5,74.5,25.5,4.5,0.1016,0.04,195,2,2
2,0,0,219,0,0,12.2,12,0.6,0,0,102,6,-3
0,0,0,205,0,0,11.4,11.2,0.6,0,0,102,5,-3
0,0,0,2236,35,21.4,57.5,45.6,4.6,0,0,153,21,21
0,0,0,2581,51.3,30.8,36.4,18.3,9.8,0,0,220,16,16
3,0,1,1007,2,0.3,44.6,3.8,9,1.016,0.4,125,-1,-1
2,0,0,781,17.6,2.1,4.3,2.1,3,0.14,0.0551181102362205,0,3,3
2,0,0,1890,22.2,13.3,51.1,46.7,4.44,0.00564,0.00222,0,20,20
0,0,0,1435,0.5,0.5,77,0.5,7,0.0254,0.01,281,-1,-1
0,0,0,1456,0.5,0.5,78,0.5,7,0,0,324,-2,-2
0,0,0,1490,1,0.5,78,0.5,8,0.0254,0.01,362,-2,-2
0,0,0,460,3.4,1.7,16,16,3.5,0.127,0.05,180.9,3,3
